DATA,RESOLUÇÃO,CTT,,DEMANDA,ESCRITÓRIO,ATIVO/RECEPTIVO,DIRETOR,BANCO,COD,  RESPONSAVEL,SITUAÇÃO,0,,,,,,,,,
3/12/2024,02/01/2025,163749,2,VALORES,MONITORAMENTO,RECEPTIVO,LEANDRO,SANTANDER,BANCO,ALINE,RESOLVIDO,,,,REGIÃO LEANDRO E ADRIANO,,21/01/2025,RELATÓRIO GERAL,,,
16/12/2024,02/01/2025,229172,1,"R$ 20.000,00",CONTRATOS NOVOS,RECEPTIVO,LEANDRO,GMAC,BANCO,MATHEUS,RESOLVIDO,,ASSESSORIA Ñ LOCALIZADA,,RESOLVIDOS,127,,QUITADO,7,,
26/12/2024,02/01/2025,219764,2,"R$ 2.500,00",LEANDRO JUIZ DE FORA,RECEPTIVO,LEANDRO,BRADESCO,BANCO,VITORIA,RESOLVIDO,SEM DESCONTO,Contatar banco no dia 2 ,,PENDENTE ATIVO,249,,APROVADO,429,,
27/12/2024,02/01/2025,189343,2,valores,JANNE TERESINA,RECEPTIVO,LEANDRO,BRADESCO,213.4,MATHEUS,RESOLVIDO,,11 31883315,,PENDENTE RECEPTIVO,178,,QUITADO CLIENTE,33,,
23/12/2024,02/01/2025,222007,1,valores,TICKET,RECEPTIVO,JULIO,SANTANDER,307,VICTOR ADRIANO,RESOLVIDO,SEM DESCONTO,Assessoria não responde,,PRIORIDADE,5,,QUITADO APROVADO,2,,
26/12/2024,02/01/2025,219001,1,valores,TICKET,RECEPTIVO,JULIO,ITAÚ,BANCO,VITORIA,RESOLVIDO,SEM DESCONTO,,,PRIORIDADE TOTAL,3,,QUITADO CANCELADO,5,,
27/12/2024,02/01/2025,225707,1,valores,TICKET,RECEPTIVO,ANTUNES,BV FINANCEIRA,108,NUNO,RESOLVIDO,,,,SOMA DAS PRIORIDADES,8,,FINALIZADOS EMPRESA,,,
30/12/2024,02/01/2025,217554,3,"R$14.000,00",PHILLIPE SANTA LUZIA,RECEPTIVO,LEANDRO,BRADESCO,259,ALINE,RESOLVIDO,,ASSESSORIA NÃO ATENDE,,ANÁLISE,38,,FINALIZADOS CLIENTE,,,
30/12/2024,02/01/2025,167220,2,"R$ 10.000,00",SAC,RECEPTIVO,LEANDRO,BRADESCO,214,MATHEUS,RESOLVIDO,,,,ANÁLISE DO DIA,31,,,,,
30/12/2024,02/01/2025,193590,1,"R$ 14.000,00",MONITORAMENTO,RECEPTIVO,LEANDRO,VOLKSWAGEN,622,KATIA,RESOLVIDO,SEM DESCONTO,,,RECEPTIVO,0,,,,,
30/12/2024,02/01/2025,191957,1,"R$ 7.500,00",MARCELO NOVO HAMBURGO,RECEPTIVO,ADRIANO,PANAMERICANO,501.1,YURI,RESOLVIDO,APROVADO,,,QUITADO CLIENTE,0,,,,,
30/12/2024,02/01/2025,123680,1,valores,TICKET,RECEPTIVO,LEANDRO,SAFRA,708.3,ALINE,RESOLVIDO,SEM DESCONTO,,,QUITADO,9,,,,,
30/12/2024,02/01/2025,211839,1,"R$ 11.000,00",RECEPTIVO,RECEPTIVO,LEANDRO,SANTANDER,314,MATHEUS,RESOLVIDO,,,,APROVADOS,31,,,,,
30/12/2024,02/01/2025,200454,3,"R$ 6.000,00",TICKET,RECEPTIVO,ADRIANO,SANTANDER,314.1,KATIA,RESOLVIDO,SEM DESCONTO,,,,,,,,,
30/12/2024,02/01/2025,206293,1,valores,TICKET,RECEPTIVO,ADRIANO,VOLKSWAGEN,BANCO,YURI,RESOLVIDO,SEM DESCONTO,,,EQUIPE DO ADRIANO/ LEANDRO,,,,,,
